Полное название акций ,тикет,сокращённое название 
Абрау-Дюрсо ПАО ао,ABRD,Абрау-Дюрсо
"АФК ""Система"" ПАО ао",AFKS ,АФК Система 
Аэрофлот-росс.авиалин(ПАО)ао,AFLT ,Аэрофлот
ГДР ROS AGRO PLC ORD SHS,AGRO,РусАгро 
Акрон ПАО ао,AKRN,Акрон
АЛРОСА ПАО ао,ALRS ,АЛРОСА
Ашинский метзавод ПАО ао,AMEZ,Ашинский метзавод
"ПАО ""Аптечная сеть 36,6"" ао",APTK,Аптечная сеть 36
ПАО ИНАРКТИКА,AQUA,ИНАРКТИКА
"АКБ ""АВАНГАРД"" ПАО ао",AVAN,Банк Авангард
Башнефть АНК ао,BANE,Башнефть 
Башнефть АНК ап,BANEP,Башнефть - привилегированные акции
Белуга Групп ПАО ао,BELU,Белуга Групп ПАО ао
Белон ОАО ао,BLNG,Белон
"ПАО ""Банк ""Санкт-Петербург"" ао",BSPB,Банк Санкт-Петербург
Банк Санкт-Петербург ап,BSPBP,Банк Санкт-Петербург - привилегированные акции
СТГ ао,CARM,СмартТехГрупп
МКБ ПАО ао,CBOM,МКБ 
Северсталь (ПАО)ао,CHMF,Северсталь
АДР Cian PLC ORD SHS,CIAN,Циан АДР
ПАО Детский мир,DSKY,Детский мир
ЭЛ5-Энерго ПАО,ELFV,ЭЛ5-Энерго
Электроцинк ПАО ао,ELTZ,Электроцинк
МКПАО ЭН+ ГРУП ао,ENPG,ЭН+ ГРУП
ГДР ETALON GROUP PLC ORD SHS,ETLN,Эталон
ФСК - Россети ПАО,FEES,ФСК Россети
ДВ морское пароходство ПАО ао,FESH,ДВМП 
ГДР X5 RetailGroup N.V.ORD SHS,FIVE,X5 Retail Group
ГДР FixPrice Group PLC ORD SHS,FIXP,Fix Price Group
Совкомфлот ао,FLOT,Совкомфлот
ГАЗ ПАО ао,GAZA,ГАЗ
ГАЗ ПАО ап,GAZAP,ГАЗ - привилегированные акции
ГАЗКОН (ПАО) ао,GAZC,ГАЗКОН
Газпром (ПАО) ао,GAZP ,Газпром
Группа Черкизово ПАО-ао,GCHE,Группа Черкизово
ЦГРМ ГЕНЕТИКО ао,GECO,ГЕНЕТИКО
ГДР ЕвроМедЦентр GEMC,GEMC,ЕвроМедЦентр
ГДР Globaltrans Invest ORD SHS,GLTR,Глобалтранс
"ГМК ""Нор.Никель"" ПАО ао",GMKN,Норникель
АДР HeadHunter Group ORD SHS,HHRU,HeadHunter
ГДР Hydraulic M&S Gr ORD SHS,HMSG,Группа ГМС
"ПАО ""РусГидро""",HYDR,РусГидро
ИНГРАД ПАО ао,Инград,INGR
