Полное название акций,тикет,сокращённое название,ликвидность
Абрау-Дюрсо ПАО ао,ABRD,Абрау-Дюрсо,100
"АФК ""Система"" ПАО ао",AFKS,АФК Система,40
Аэрофлот-росс.авиалин(ПАО)ао,AFLT,Аэрофлот,40
ГДР ROS AGRO PLC ORD SHS,AGRO,РусАгро,50
Акрон ПАО ао,AKRN,Акрон,50
АЛРОСА ПАО ао,ALRS,АЛРОСА,20
Ашинский метзавод ПАО ао,AMEZ,Ашинский метзавод,100
"ПАО ""Аптечная сеть 36,6"" ао",APTK,Аптечная сеть 36,100
ПАО ИНАРКТИКА,AQUA,ИНАРКТИКА,50
"АКБ ""АВАНГАРД"" ПАО ао",AVAN,Банк Авангард,200
Башнефть АНК ао,BANE,Башнефть,100
Башнефть АНК ап,BANEP,Башнефть - привилегированные акции,30
Белуга Групп ПАО ао,BELU,Белуга Групп ПАО ао,40
Белон ОАО ао,BLNG,Белон,100
"ПАО ""Банк ""Санкт-Петербург"" ао",BSPB,Банк Санкт-Петербург,50
Банк Санкт-Петербург ап,BSPBP,Банк Санкт-Петербург - привилегированные акции,100
СТГ ао,CARM,СмартТехГрупп,30
МКБ ПАО ао,CBOM,МКБ,50
Северсталь (ПАО)ао,CHMF,Северсталь,20
АДР Cian PLC ORD SHS,CIAN,Циан АДР,50
ПАО Детский мир,DSKY,Детский мир,100
ЭЛ5-Энерго ПАО,ELFV,ЭЛ5-Энерго,100
Электроцинк ПАО ао,ELTZ,Электроцинк,100
МКПАО ЭН+ ГРУП ао,ENPG,ЭН+ ГРУП,40
ГДР ETALON GROUP PLC ORD SHS,ETLN,Эталон,100
ФСК - Россети ПАО,FEES,ФСК Россети,30
ДВ морское пароходство ПАО ао,FESH,ДВМП,50
ГДР X5 RetailGroup N.V.ORD SHS,FIVE,X5 Retail Group,10
ГДР FixPrice Group PLC ORD SHS,FIXP,Fix Price Group,50
Совкомфлот ао,FLOT,Совкомфлот,15
ГАЗ ПАО ао,GAZA,ГАЗ,200
ГАЗ ПАО ап,GAZAP,ГАЗ - привилегированные акции,1000
ГАЗКОН (ПАО) ао,GAZC,ГАЗКОН,1000
Газпром (ПАО) ао,GAZP,Газпром,10
Группа Черкизово ПАО-ао,GCHE,Группа Черкизово,100
ЦГРМ ГЕНЕТИКО ао,GECO,ГЕНЕТИКО,100
ГДР ЕвроМедЦентр GEMC,GEMC,ЕвроМедЦентр,100
ГДР Globaltrans Invest ORD SHS,GLTR,Глобалтранс,50
"ГМК ""Нор.Никель"" ПАО ао",GMKN,Норникель,20
АДР HeadHunter Group ORD SHS,HHRU,HeadHunter,100
ГДР Hydraulic M&S Gr ORD SHS,HMSG,Группа ГМС,100
"ПАО ""РусГидро""",HYDR,РусГидро,100
ИНГРАД ПАО ао,INGR,Инград,200
Интер РАО ПАО ао,IRAO,Интер РАО,50
"Корпорация""ИРКУТ"" ПАО ак.об.-3",IRKT,Корпорация ИРКУТ,200
"ПАО ""ИСКЧ""",ISKJ,ИСКЧ,100
Куйбышевазот ПАО ао,KAZT,КуйбышевАзот,200
Куйбышевазот ПАО ап,KAZTP,КуйбышевАзот - привилегированные акции,1000
КАМАЗ ПАО,KMAZ,КАМАЗ,50
Саратовский НПЗ ПАО ао,KRKN,Саратовский НПЗ,200
Саратовский НПЗ ПАО ап,KRKNP,Саратовский НПЗ - привилегированные акции,200
КрасныйОктябрь ПАО - ао,KROT,Красный Октябрь,200
Россети Кубань ПАО,KUBE,Россети Кубань,200
"ПАО ""Органический синтез"" ао",KZOS,Органический синтез,100
"ПАО ""Органический синтез"" ап",KZOSP,Органический синтез - привилегированные акции,100
Лента МКПАО ао,LENT,Лента,100
Фармсинтез ПАО ао,LIFE,Фармсинтез,50
НК ЛУКОЙЛ (ПАО) - ао,LKOH,ЛУКОЙЛ,10
Лензолото ПАО ао,LNZL,Лензолото,100
Лензолото ПАО ап,LNZLP,Лензолото - привилегированные акции,100
Россети Ленэнерго ПАО-ао,LSNG,Россети Ленэнерго,100
Россети Ленэнерго ПАО-ап,LSNGP,Россети Ленэнерго - привилегированные акции,100
Группа ЛСР ПАО ао,LSRG,ЛСР,20
Магнитогорск.мет.комб ПАО ао,MAGN,ММК,20
